estimator	k_point	ci_low	ci_high	ci_width	bootstrap_se	analytic_se	n_boot
free_intercept	454.158441	316.648582	603.704762	287.056180	72.933862	75.237105	2000.000000
through_origin	423.937323	342.308021	510.783153	168.475132	42.198639		2000.000000
