experiment	metric	value
5	truth_F_d	0.3047
5	truth_premium	62346.20
5	truth_var99	239473.57
5	truth_tvar99	454598.52
5	qls_trim_grid	0.15-0.85x19
5	qls_full_grid	0.05-0.95x19
5	mtm_trim	0.1
5	prem_err_mean_mle_naive	57.5253
5	prem_err_sd_mle_naive	17.3756
5	prem_bias_pct_mle_naive	+57.5253
5	var99_bias_pct_mle_naive	+57.8110
5	tvar99_bias_pct_mle_naive	+42.7656
5	wall_seconds_mle_naive	2.37
5	prem_err_mean_mle_tc	7.8505
5	prem_err_sd_mle_tc	6.1250
5	prem_bias_pct_mle_tc	+2.0979
5	var99_bias_pct_mle_tc	-6.8800
5	tvar99_bias_pct_mle_tc	+13.6470
5	wall_seconds_mle_tc	16.38
5	prem_err_mean_qls_window_trim	18.7839
5	prem_err_sd_qls_window_trim	8.4479
5	prem_bias_pct_qls_window_trim	-18.5511
5	var99_bias_pct_qls_window_trim	-18.8728
5	tvar99_bias_pct_qls_window_trim	-18.4734
5	wall_seconds_qls_window_trim	3.60
5	prem_err_mean_mtm	31.9439
5	prem_err_sd_mtm	5.9108
5	prem_bias_pct_mtm	-31.9439
5	var99_bias_pct_mtm	-35.1431
5	tvar99_bias_pct_mtm	-48.8380
5	wall_seconds_mtm	2.66
5	prem_err_mean_qls_naive	23.7374
5	prem_err_sd_qls_naive	6.9972
5	prem_bias_pct_qls_naive	-23.7261
5	wall_seconds_qls_naive	2.59
5	prem_err_mean_qls_window_only	8.9025
5	prem_err_sd_qls_window_only	6.5177
5	prem_bias_pct_qls_window_only	-5.5238
5	wall_seconds_qls_window_only	3.59
5	prem_err_mean_qls_trim_only	35.9020
5	prem_err_sd_qls_trim_only	5.4677
5	prem_bias_pct_qls_trim_only	-35.9020
5	wall_seconds_qls_trim_only	2.71
6	wall_seconds	32.35040092468262
6	reps	500
6	n_drawn_per_rep	2000
6	tail_mode	True
6	splice_t	250000.0
6	xi_true	0.4
6	beta_true	125000.0
6	n_exc_mean	19.2
6	fallback_rate	0.0000
6	xi_hat_mean	0.2171
6	xi_hat_sd	0.2644
6	xi_clip_rate	0.3560
6	n_cens_mean	0.130
6	truth_premium	62454.93
6	truth_tail_premium_delta_pct	+0.1744
6	truth_tail_tvar99_delta_pct	+0.2194
6	prem_err_mean_tail_blind_qls	25.8138
6	prem_err_sd_tail_blind_qls	6.0947
6	premium_bias_pct_tail_blind_qls	-25.7742
6	var95_bias_pct_tail_blind_qls	-18.9927
6	var99_bias_pct_tail_blind_qls	-25.6879
6	tvar99_bias_pct_tail_blind_qls	-25.6668
6	wall_seconds_tail_blind_qls	3.57
6	prem_err_mean_tail_blind_mle_tc	23.4242
6	prem_err_sd_tail_blind_mle_tc	5.9236
6	premium_bias_pct_tail_blind_mle_tc	-23.3865
6	var95_bias_pct_tail_blind_mle_tc	-17.3611
6	var99_bias_pct_tail_blind_mle_tc	-23.4067
6	tvar99_bias_pct_tail_blind_mle_tc	-22.9126
6	wall_seconds_tail_blind_mle_tc	14.33
6	prem_err_mean_tail_aware	27.9575
6	prem_err_sd_tail_aware	8.0798
6	premium_bias_pct_tail_aware	-27.6325
6	var95_bias_pct_tail_aware	-19.8171
6	var99_bias_pct_tail_aware	-30.0685
6	tvar99_bias_pct_tail_aware	-28.5214
6	wall_seconds_tail_aware	13.19
6	split_var99_absbias_aware_minus_blind_pp	+4.3805
6	split_tvar99_absbias_aware_minus_blind_pp	+2.8546
6	split_premium_absbias_aware_minus_blind_pp	+1.8583
7	wall_seconds	138.47997069358826
7	reps_per_cell	500
7	n_drawn_per_rep	2000
7	cells	20
7	cell_config	mixture, tail off, trunc d=$5k + cens u=$2M
7	qls_grid	0.15-0.85x19 (trimmed)
7	mtm_trim	0.1
7	truth_premium	62346.20
7	prem_err_mle_naive_eps0	33.9072
7	prem_err_sd_mle_naive_eps0	4.4274
7	prem_bias_pct_mle_naive_eps0	-33.9072
7	prem_err_mle_naive_eps1	20.0391
7	prem_err_sd_mle_naive_eps1	6.8064
7	prem_bias_pct_mle_naive_eps1	-19.9838
7	prem_err_mle_naive_eps2	8.2288
7	prem_err_sd_mle_naive_eps2	6.0677
7	prem_bias_pct_mle_naive_eps2	-3.4786
7	prem_err_mle_naive_eps5	57.5253
7	prem_err_sd_mle_naive_eps5	17.3756
7	prem_bias_pct_mle_naive_eps5	+57.5253
7	prem_err_mle_naive_eps10	188.8601
7	prem_err_sd_mle_naive_eps10	28.3099
7	prem_bias_pct_mle_naive_eps10	+188.8601
7	prem_err_mle_tc_eps0	23.3140
7	prem_err_sd_mle_tc_eps0	5.9280
7	prem_bias_pct_mle_tc_eps0	-23.2756
7	prem_err_mle_tc_eps1	17.6862
7	prem_err_sd_mle_tc_eps1	6.7488
7	prem_bias_pct_mle_tc_eps1	-17.6049
7	prem_err_mle_tc_eps2	12.8110
7	prem_err_sd_mle_tc_eps2	6.7497
7	prem_bias_pct_mle_tc_eps2	-12.3012
7	prem_err_mle_tc_eps5	7.8505
7	prem_err_sd_mle_tc_eps5	6.1250
7	prem_bias_pct_mle_tc_eps5	+2.0979
7	prem_err_mle_tc_eps10	18.5585
7	prem_err_sd_mle_tc_eps10	12.8085
7	prem_bias_pct_mle_tc_eps10	+15.9262
7	prem_err_qls_window_trim_eps0	31.4732
7	prem_err_sd_qls_window_trim_eps0	6.5728
7	prem_bias_pct_qls_window_trim_eps0	-31.4732
7	prem_err_qls_window_trim_eps1	29.2136
7	prem_err_sd_qls_window_trim_eps1	6.9504
7	prem_bias_pct_qls_window_trim_eps1	-29.2062
7	prem_err_qls_window_trim_eps2	26.9055
7	prem_err_sd_qls_window_trim_eps2	7.3558
7	prem_bias_pct_qls_window_trim_eps2	-26.8884
7	prem_err_qls_window_trim_eps5	18.7839
7	prem_err_sd_qls_window_trim_eps5	8.4479
7	prem_bias_pct_qls_window_trim_eps5	-18.5511
7	prem_err_qls_window_trim_eps10	9.8453
7	prem_err_sd_qls_window_trim_eps10	7.2116
7	prem_bias_pct_qls_window_trim_eps10	-0.5707
7	prem_err_mtm_eps0	42.3031
7	prem_err_sd_mtm_eps0	4.1300
7	prem_bias_pct_mtm_eps0	-42.3031
