run	checkpoint_sha256	device	val_nats_per_char
E0001	f1408df06f0a87a854f11841443a5b3eb0eaa4487415fca3ecd9adc06d1df799	cpu	1.572174
E0001	f1408df06f0a87a854f11841443a5b3eb0eaa4487415fca3ecd9adc06d1df799	mps	1.572174
E0001	f1408df06f0a87a854f11841443a5b3eb0eaa4487415fca3ecd9adc06d1df799	cpu_minus_mps	0.0
