experiment	track	path	metric	primary_name	metric_goal	sha256	available	created_utc
E0001	primary	models/best_primary_E0001_0.61414_6a8843fdf853.joblib	0.61413980063214202	val_auc	higher	483fe5a725cb58532bd0d26468f82776bdcae6a968b3f70c3cdfc55419870ef5	true	2026-09-03T08:25:45.737357+00:00
E0002	primary	models/best_primary_E0002_0.650095_b2f6e68ee140.joblib	0.65009530756139067	val_auc	higher	e9c3dc39b4a040145b9a4324974672a8199f9c1201a83de315e238cba7130308	true	2026-09-03T08:29:11.244390+00:00
