experiment	track	path	metric	primary_name	metric_goal	sha256	available	created_utc
E0001	glm	models/best_glm_E0001_0.454861_590b5fea4b7d.joblib	0.45486081689395963	val_poisson_deviance	lower	d650e993930db8adb82c64397a03c1539205d95e7c92b6743eb6f7db0eb486c1	true	2026-07-31T16:27:08.777784+00:00
E0003	gbdt	models/best_gbdt_E0003_0.444689_42a4c1fb7c37.joblib	0.44468916340487452	val_poisson_deviance	lower	c7b4af4a5067bceef7c43abd4f7028ada141f798016dc86d9d3b8a0260eb5eeb	true	2026-07-31T16:29:16.775494+00:00
E0004	glm	models/best_glm_E0004_0.453156_e52e9ddffe72.joblib	0.45315627446756762	val_poisson_deviance	lower	a418bf89c1634f29521a27bf2648bd4ed63b047047a428f73aa4f77e3aafbcef	true	2026-07-31T16:34:47.328132+00:00
E0005	gbdt	models/best_gbdt_E0005_0.444413_3beed7044c5b.joblib	0.44441274708719836	val_poisson_deviance	lower	9889e488c4e7f97479da0747e38b50731750d0d29db1c589d37bdaec42b24ea4	true	2026-07-31T16:35:19.002723+00:00
