trial	params_json	primary_metric	wall_seconds	status	error
66	{"draw":7,"family":"svm_rbf_platt","role":"challenger","seed":2026099107}	0.046829	0.021	ok	
67	{"draw":7,"family":"hgbt","role":"challenger","seed":2026099107}	0.085948	2.937	ok	
68	{"draw":7,"family":"tabpfn","role":"challenger","seed":2026099107}	0.062271	0.531	ok	
69	{"draw":7,"family":"lda_petal","role":"control","seed":2026099107}	0.030916	0.004	ok	
70	{"draw":7,"family":"lda_sepal","role":"control","seed":2026099107}	0.247425	0.003	ok	
71	{"draw":8,"family":"anchor_lda4","role":"anchor","seed":2026099108}	0.067445	0.006	ok	
72	{"draw":8,"family":"lda_shrinkage","role":"challenger","seed":2026099108}	0.063829	0.005	ok	
73	{"draw":8,"family":"qda","role":"challenger","seed":2026099108}	0.078403	0.002	ok	
74	{"draw":8,"family":"logit_l2","role":"challenger","seed":2026099108}	0.077595	0.005	ok	
75	{"draw":8,"family":"knn_tuned","role":"challenger","seed":2026099108}	0.086898	0.053	ok	
76	{"draw":8,"family":"svm_rbf_platt","role":"challenger","seed":2026099108}	0.119530	0.020	ok	
77	{"draw":8,"family":"hgbt","role":"challenger","seed":2026099108}	0.193979	3.327	ok	
78	{"draw":8,"family":"tabpfn","role":"challenger","seed":2026099108}	0.097286	0.564	ok	
79	{"draw":8,"family":"lda_petal","role":"control","seed":2026099108}	0.093271	0.005	ok	
80	{"draw":8,"family":"lda_sepal","role":"control","seed":2026099108}	0.220145	0.006	ok	
81	{"draw":9,"family":"anchor_lda4","role":"anchor","seed":2026099109}	0.017688	0.004	ok	
82	{"draw":9,"family":"lda_shrinkage","role":"challenger","seed":2026099109}	0.013645	0.006	ok	
83	{"draw":9,"family":"qda","role":"challenger","seed":2026099109}	0.029628	0.005	ok	
84	{"draw":9,"family":"logit_l2","role":"challenger","seed":2026099109}	0.025232	0.009	ok	
85	{"draw":9,"family":"knn_tuned","role":"challenger","seed":2026099109}	0.040710	0.067	ok	
86	{"draw":9,"family":"svm_rbf_platt","role":"challenger","seed":2026099109}	0.020054	0.025	ok	
87	{"draw":9,"family":"hgbt","role":"challenger","seed":2026099109}	0.090902	2.915	ok	
88	{"draw":9,"family":"tabpfn","role":"challenger","seed":2026099109}	0.015361	0.559	ok	
89	{"draw":9,"family":"lda_petal","role":"control","seed":2026099109}	0.011935	0.005	ok	
90	{"draw":9,"family":"lda_sepal","role":"control","seed":2026099109}	0.239424	0.003	ok	
91	{"draw":10,"family":"anchor_lda4","role":"anchor","seed":2026099110}	0.048607	0.003	ok	
92	{"draw":10,"family":"lda_shrinkage","role":"challenger","seed":2026099110}	0.079759	0.005	ok	
93	{"draw":10,"family":"qda","role":"challenger","seed":2026099110}	0.044552	0.003	ok	
94	{"draw":10,"family":"logit_l2","role":"challenger","seed":2026099110}	0.066248	0.007	ok	
95	{"draw":10,"family":"knn_tuned","role":"challenger","seed":2026099110}	0.059741	0.074	ok	
96	{"draw":10,"family":"svm_rbf_platt","role":"challenger","seed":2026099110}	0.075025	0.037	ok	
97	{"draw":10,"family":"hgbt","role":"challenger","seed":2026099110}	0.199960	3.325	ok	
98	{"draw":10,"family":"tabpfn","role":"challenger","seed":2026099110}	0.101289	0.530	ok	
99	{"draw":10,"family":"lda_petal","role":"control","seed":2026099110}	0.135716	0.004	ok	
100	{"draw":10,"family":"lda_sepal","role":"control","seed":2026099110}	0.202043	0.003	ok	
101	{"draw":11,"family":"anchor_lda4","role":"anchor","seed":2026099111}	0.017938	0.004	ok	
102	{"draw":11,"family":"lda_shrinkage","role":"challenger","seed":2026099111}	0.008030	0.005	ok	
103	{"draw":11,"family":"qda","role":"challenger","seed":2026099111}	0.024323	0.003	ok	
104	{"draw":11,"family":"logit_l2","role":"challenger","seed":2026099111}	0.021908	0.004	ok	
105	{"draw":11,"family":"knn_tuned","role":"challenger","seed":2026099111}	0.017762	0.056	ok	
106	{"draw":11,"family":"svm_rbf_platt","role":"challenger","seed":2026099111}	0.015826	0.024	ok	
107	{"draw":11,"family":"hgbt","role":"challenger","seed":2026099111}	0.049997	2.782	ok	
108	{"draw":11,"family":"tabpfn","role":"challenger","seed":2026099111}	0.008272	0.510	ok	
109	{"draw":11,"family":"lda_petal","role":"control","seed":2026099111}	0.042664	0.003	ok	
110	{"draw":11,"family":"lda_sepal","role":"control","seed":2026099111}	0.196173	0.004	ok	
111	{"draw":12,"family":"anchor_lda4","role":"anchor","seed":2026099112}	0.056806	0.003	ok	
112	{"draw":12,"family":"lda_shrinkage","role":"challenger","seed":2026099112}	0.042327	0.006	ok	
113	{"draw":12,"family":"qda","role":"challenger","seed":2026099112}	0.056344	0.002	ok	
114	{"draw":12,"family":"logit_l2","role":"challenger","seed":2026099112}	0.045258	0.006	ok	
115	{"draw":12,"family":"knn_tuned","role":"challenger","seed":2026099112}	0.042018	0.063	ok	
116	{"draw":12,"family":"svm_rbf_platt","role":"challenger","seed":2026099112}	0.046599	0.025	ok	
117	{"draw":12,"family":"hgbt","role":"challenger","seed":2026099112}	0.108800	2.990	ok	
118	{"draw":12,"family":"tabpfn","role":"challenger","seed":2026099112}	0.054412	0.492	ok	
119	{"draw":12,"family":"lda_petal","role":"control","seed":2026099112}	0.026339	0.004	ok	
120	{"draw":12,"family":"lda_sepal","role":"control","seed":2026099112}	0.227399	0.003	ok	
121	{"draw":13,"family":"anchor_lda4","role":"anchor","seed":2026099113}	0.004507	0.004	ok	
122	{"draw":13,"family":"lda_shrinkage","role":"challenger","seed":2026099113}	0.010417	0.004	ok	
123	{"draw":13,"family":"qda","role":"challenger","seed":2026099113}	0.037045	0.002	ok	
124	{"draw":13,"family":"logit_l2","role":"challenger","seed":2026099113}	0.036090	0.004	ok	
125	{"draw":13,"family":"knn_tuned","role":"challenger","seed":2026099113}	0.045541	0.057	ok	
126	{"draw":13,"family":"svm_rbf_platt","role":"challenger","seed":2026099113}	0.040253	0.020	ok	
127	{"draw":13,"family":"hgbt","role":"challenger","seed":2026099113}	0.049460	2.495	ok	
128	{"draw":13,"family":"tabpfn","role":"challenger","seed":2026099113}	0.022083	0.493	ok	
129	{"draw":13,"family":"lda_petal","role":"control","seed":2026099113}	0.044713	0.004	ok	
130	{"draw":13,"family":"lda_sepal","role":"control","seed":2026099113}	0.216898	0.003	ok	
131	{"draw":14,"family":"anchor_lda4","role":"anchor","seed":2026099114}	0.027718	0.004	ok	
132	{"draw":14,"family":"lda_shrinkage","role":"challenger","seed":2026099114}	0.023707	0.004	ok	
133	{"draw":14,"family":"qda","role":"challenger","seed":2026099114}	0.031887	0.003	ok	
134	{"draw":14,"family":"logit_l2","role":"challenger","seed":2026099114}	0.032187	0.006	ok	
135	{"draw":14,"family":"knn_tuned","role":"challenger","seed":2026099114}	0.030126	0.064	ok	
136	{"draw":14,"family":"svm_rbf_platt","role":"challenger","seed":2026099114}	0.024528	0.025	ok	
137	{"draw":14,"family":"hgbt","role":"challenger","seed":2026099114}	0.047571	2.569	ok	
138	{"draw":14,"family":"tabpfn","role":"challenger","seed":2026099114}	0.032233	0.605	ok	
139	{"draw":14,"family":"lda_petal","role":"control","seed":2026099114}	0.030435	0.003	ok	
140	{"draw":14,"family":"lda_sepal","role":"control","seed":2026099114}	0.232946	0.003	ok	
141	{"draw":15,"family":"anchor_lda4","role":"anchor","seed":2026099115}	0.022135	0.004	ok	
142	{"draw":15,"family":"lda_shrinkage","role":"challenger","seed":2026099115}	0.015651	0.004	ok	
143	{"draw":15,"family":"qda","role":"challenger","seed":2026099115}	0.026768	0.002	ok	
144	{"draw":15,"family":"logit_l2","role":"challenger","seed":2026099115}	0.039877	0.004	ok	
145	{"draw":15,"family":"knn_tuned","role":"challenger","seed":2026099115}	0.036227	0.052	ok	
146	{"draw":15,"family":"svm_rbf_platt","role":"challenger","seed":2026099115}	0.020222	0.023	ok	
147	{"draw":15,"family":"hgbt","role":"challenger","seed":2026099115}	0.103490	3.328	ok	
148	{"draw":15,"family":"tabpfn","role":"challenger","seed":2026099115}	0.024146	0.503	ok	
149	{"draw":15,"family":"lda_petal","role":"control","seed":2026099115}	0.044695	0.004	ok	
150	{"draw":15,"family":"lda_sepal","role":"control","seed":2026099115}	0.236625	0.003	ok	
151	{"draw":16,"family":"anchor_lda4","role":"anchor","seed":2026099116}	0.006814	0.004	ok	
152	{"draw":16,"family":"lda_shrinkage","role":"challenger","seed":2026099116}	0.011676	0.004	ok	
153	{"draw":16,"family":"qda","role":"challenger","seed":2026099116}	0.025985	0.002	ok	
154	{"draw":16,"family":"logit_l2","role":"challenger","seed":2026099116}	0.027557	0.004	ok	
155	{"draw":16,"family":"knn_tuned","role":"challenger","seed":2026099116}	0.019736	0.063	ok	
156	{"draw":16,"family":"svm_rbf_platt","role":"challenger","seed":2026099116}	0.025347	0.020	ok	
157	{"draw":16,"family":"hgbt","role":"challenger","seed":2026099116}	0.049966	2.964	ok	
158	{"draw":16,"family":"tabpfn","role":"challenger","seed":2026099116}	0.015532	0.562	ok	
159	{"draw":16,"family":"lda_petal","role":"control","seed":2026099116}	0.025798	0.003	ok	
160	{"draw":16,"family":"lda_sepal","role":"control","seed":2026099116}	0.173695	0.004	ok	
161	{"draw":17,"family":"anchor_lda4","role":"anchor","seed":2026099117}	0.073911	0.006	ok	
162	{"draw":17,"family":"lda_shrinkage","role":"challenger","seed":2026099117}	0.062595	0.004	ok	
163	{"draw":17,"family":"qda","role":"challenger","seed":2026099117}	0.072908	0.002	ok	
164	{"draw":17,"family":"logit_l2","role":"challenger","seed":2026099117}	0.073390	0.004	ok	
165	{"draw":17,"family":"knn_tuned","role":"challenger","seed":2026099117}	0.184932	0.077	ok	
166	{"draw":17,"family":"svm_rbf_platt","role":"challenger","seed":2026099117}	0.123192	0.022	ok	
167	{"draw":17,"family":"hgbt","role":"challenger","seed":2026099117}	0.190390	2.460	ok	
168	{"draw":17,"family":"tabpfn","role":"challenger","seed":2026099117}	0.087226	0.511	ok	
169	{"draw":17,"family":"lda_petal","role":"control","seed":2026099117}	0.099098	0.003	ok	
170	{"draw":17,"family":"lda_sepal","role":"control","seed":2026099117}	0.260623	0.002	ok	
171	{"draw":18,"family":"anchor_lda4","role":"anchor","seed":2026099118}	0.045278	0.006	ok	
172	{"draw":18,"family":"lda_shrinkage","role":"challenger","seed":2026099118}	0.038071	0.006	ok	
173	{"draw":18,"family":"qda","role":"challenger","seed":2026099118}	0.046102	0.003	ok	
174	{"draw":18,"family":"logit_l2","role":"challenger","seed":2026099118}	0.036097	0.007	ok	
175	{"draw":18,"family":"knn_tuned","role":"challenger","seed":2026099118}	0.050000	0.067	ok	
176	{"draw":18,"family":"svm_rbf_platt","role":"challenger","seed":2026099118}	0.043246	0.023	ok	
177	{"draw":18,"family":"hgbt","role":"challenger","seed":2026099118}	0.055431	2.496	ok	
178	{"draw":18,"family":"tabpfn","role":"challenger","seed":2026099118}	0.043019	0.473	ok	
179	{"draw":18,"family":"lda_petal","role":"control","seed":2026099118}	0.027376	0.003	ok	
180	{"draw":18,"family":"lda_sepal","role":"control","seed":2026099118}	0.209721	0.003	ok	
181	{"draw":19,"family":"anchor_lda4","role":"anchor","seed":2026099119}	0.091753	0.004	ok	
182	{"draw":19,"family":"lda_shrinkage","role":"challenger","seed":2026099119}	0.084377	0.004	ok	
183	{"draw":19,"family":"qda","role":"challenger","seed":2026099119}	0.081866	0.004	ok	
184	{"draw":19,"family":"logit_l2","role":"challenger","seed":2026099119}	0.083763	0.004	ok	
185	{"draw":19,"family":"knn_tuned","role":"challenger","seed":2026099119}	0.119790	0.058	ok	
186	{"draw":19,"family":"svm_rbf_platt","role":"challenger","seed":2026099119}	0.109834	0.023	ok	
187	{"draw":19,"family":"hgbt","role":"challenger","seed":2026099119}	0.149981	2.670	ok	
188	{"draw":19,"family":"tabpfn","role":"challenger","seed":2026099119}	0.103243	0.471	ok	
189	{"draw":19,"family":"lda_petal","role":"control","seed":2026099119}	0.085177	0.004	ok	
190	{"draw":19,"family":"lda_sepal","role":"control","seed":2026099119}	0.246369	0.003	ok	
191	{"draw":20,"family":"anchor_lda4","role":"anchor","seed":2026099120}	0.057563	0.003	ok	
192	{"draw":20,"family":"lda_shrinkage","role":"challenger","seed":2026099120}	0.046657	0.004	ok	
193	{"draw":20,"family":"qda","role":"challenger","seed":2026099120}	0.052146	0.002	ok	
194	{"draw":20,"family":"logit_l2","role":"challenger","seed":2026099120}	0.056461	0.004	ok	
195	{"draw":20,"family":"knn_tuned","role":"challenger","seed":2026099120}	0.050261	0.063	ok	
196	{"draw":20,"family":"svm_rbf_platt","role":"challenger","seed":2026099120}	0.053857	0.024	ok	
197	{"draw":20,"family":"hgbt","role":"challenger","seed":2026099120}	0.107590	2.859	ok	
198	{"draw":20,"family":"tabpfn","role":"challenger","seed":2026099120}	0.066378	0.429	ok	
199	{"draw":20,"family":"lda_petal","role":"control","seed":2026099120}	0.070282	0.004	ok	
200	{"draw":20,"family":"lda_sepal","role":"control","seed":2026099120}	0.229845	0.003	ok	
