family	rung	repeat	fold	metric	value	note
anchor_lda4	60	4	2	val_logloss	0.16971833931238683	
anchor_lda4	60	4	2	val_auc	0.98	
anchor_lda4	60	4	2	val_pr_auc	0.9809090909090908	
anchor_lda4	60	4	2	val_accuracy	0.95	
anchor_lda4	60	4	2	val_f1	0.9523809523809523	
anchor_lda4	60	4	2	cal_intercept	-0.2706238952975153	
anchor_lda4	60	4	2	cal_slope	0.6661061196015801	
anchor_lda4	60	4	3	val_logloss	0.05705635110775079	
anchor_lda4	60	4	3	val_auc	1.0	
anchor_lda4	60	4	3	val_pr_auc	0.9999999999999999	
anchor_lda4	60	4	3	val_accuracy	1.0	
anchor_lda4	60	4	3	val_f1	1.0	
anchor_lda4	60	4	3	cal_intercept	-5.429224960377812	
anchor_lda4	60	4	3	cal_slope	7.060183706099588	
anchor_lda4	60	5	0	val_logloss	0.022877272243871295	
anchor_lda4	60	5	0	val_auc	1.0	
anchor_lda4	60	5	0	val_pr_auc	0.9999999999999999	
anchor_lda4	60	5	0	val_accuracy	1.0	
anchor_lda4	60	5	0	val_f1	1.0	
anchor_lda4	60	5	0	cal_intercept	2.0548763492967144	
anchor_lda4	60	5	0	cal_slope	3.6328071215922715	
anchor_lda4	60	5	1	val_logloss	0.14589983203341525	
anchor_lda4	60	5	1	val_auc	1.0	
anchor_lda4	60	5	1	val_pr_auc	0.9999999999999999	
anchor_lda4	60	5	1	val_accuracy	0.9	
anchor_lda4	60	5	1	val_f1	0.9090909090909091	
anchor_lda4	60	5	1	cal_intercept	-21.1961879512073	
anchor_lda4	60	5	1	cal_slope	14.358633052682354	
anchor_lda4	60	5	2	val_logloss	0.20575099944967437	
anchor_lda4	60	5	2	val_auc	0.98	
anchor_lda4	60	5	2	val_pr_auc	0.9809090909090908	
anchor_lda4	60	5	2	val_accuracy	0.9	
anchor_lda4	60	5	2	val_f1	0.9090909090909091	
anchor_lda4	60	5	2	cal_intercept	-0.9502394684291642	
anchor_lda4	60	5	2	cal_slope	0.7701332048208016	
anchor_lda4	60	5	3	val_logloss	0.06179454180376108	
anchor_lda4	60	5	3	val_auc	1.0	
anchor_lda4	60	5	3	val_pr_auc	1.0000000000000002	
anchor_lda4	60	5	3	val_accuracy	1.0	
anchor_lda4	60	5	3	val_f1	1.0	
anchor_lda4	60	5	3	cal_intercept	4.909860883895493	
anchor_lda4	60	5	3	cal_slope	3.842357501188381	
anchor_lda4	60	6	0	val_logloss	0.028351699537332093	
anchor_lda4	60	6	0	val_auc	1.0	
anchor_lda4	60	6	0	val_pr_auc	1.0000000000000002	
anchor_lda4	60	6	0	val_accuracy	1.0	
anchor_lda4	60	6	0	val_f1	1.0	
anchor_lda4	60	6	0	cal_intercept	-1.2564825873339354	
anchor_lda4	60	6	0	cal_slope	4.69580589336144	
anchor_lda4	60	6	1	val_logloss	0.2836185156934912	
anchor_lda4	60	6	1	val_auc	0.99	
anchor_lda4	60	6	1	val_pr_auc	0.9909090909090909	
anchor_lda4	60	6	1	val_accuracy	0.85	
anchor_lda4	60	6	1	val_f1	0.8695652173913043	
anchor_lda4	60	6	1	cal_intercept	-1.9898060024257798	
anchor_lda4	60	6	1	cal_slope	0.7726360531430848	
anchor_lda4	60	6	2	val_logloss	0.026235256994020666	
anchor_lda4	60	6	2	val_auc	1.0	
anchor_lda4	60	6	2	val_pr_auc	0.9999999999999999	
anchor_lda4	60	6	2	val_accuracy	1.0	
anchor_lda4	60	6	2	val_f1	1.0	
anchor_lda4	60	6	2	cal_intercept	2.4305332335994967	
anchor_lda4	60	6	2	cal_slope	3.649580003837663	
anchor_lda4	60	6	3	val_logloss	0.11334701268611573	
anchor_lda4	60	6	3	val_auc	0.99	
anchor_lda4	60	6	3	val_pr_auc	0.9909090909090909	
anchor_lda4	60	6	3	val_accuracy	0.95	
anchor_lda4	60	6	3	val_f1	0.9523809523809523	
anchor_lda4	60	6	3	cal_intercept	-0.12175138671724797	
anchor_lda4	60	6	3	cal_slope	1.2916526297331714	
anchor_lda4	60	7	0	val_logloss	0.18234018739567534	
anchor_lda4	60	7	0	val_auc	0.98	
anchor_lda4	60	7	0	val_pr_auc	0.9809090909090908	
anchor_lda4	60	7	0	val_accuracy	0.95	
anchor_lda4	60	7	0	val_f1	0.9523809523809523	
anchor_lda4	60	7	0	cal_intercept	-1.2953984058581052	
anchor_lda4	60	7	0	cal_slope	0.7791260404522153	
anchor_lda4	60	7	1	val_logloss	0.042627629869051734	
anchor_lda4	60	7	1	val_auc	1.0	
anchor_lda4	60	7	1	val_pr_auc	0.9999999999999999	
anchor_lda4	60	7	1	val_accuracy	1.0	
anchor_lda4	60	7	1	val_f1	1.0	
anchor_lda4	60	7	1	cal_intercept	5.045315205927433	
anchor_lda4	60	7	1	cal_slope	3.4210010470865027	
anchor_lda4	60	7	2	val_logloss	0.07343427551458832	
anchor_lda4	60	7	2	val_auc	1.0	
anchor_lda4	60	7	2	val_pr_auc	0.9999999999999999	
anchor_lda4	60	7	2	val_accuracy	1.0	
anchor_lda4	60	7	2	val_f1	1.0	
anchor_lda4	60	7	2	cal_intercept	-5.911693542999578	
anchor_lda4	60	7	2	cal_slope	9.478787148103825	
anchor_lda4	60	7	3	val_logloss	0.08837548863985462	
anchor_lda4	60	7	3	val_auc	1.0	
anchor_lda4	60	7	3	val_pr_auc	1.0000000000000002	
anchor_lda4	60	7	3	val_accuracy	1.0	
anchor_lda4	60	7	3	val_f1	1.0	
anchor_lda4	60	7	3	cal_intercept	1.2748383605404214	
anchor_lda4	60	7	3	cal_slope	17.03957301675057	
anchor_lda4	60	8	0	val_logloss	0.027263905408884813	
anchor_lda4	60	8	0	val_auc	1.0	
anchor_lda4	60	8	0	val_pr_auc	0.9999999999999999	
anchor_lda4	60	8	0	val_accuracy	1.0	
anchor_lda4	60	8	0	val_f1	1.0	
anchor_lda4	60	8	0	cal_intercept	3.088717545082053	
anchor_lda4	60	8	0	cal_slope	4.2420519335594244	
anchor_lda4	60	8	1	val_logloss	0.08910984870533646	
anchor_lda4	60	8	1	val_auc	1.0	
anchor_lda4	60	8	1	val_pr_auc	0.9999999999999999	
anchor_lda4	60	8	1	val_accuracy	0.95	
anchor_lda4	60	8	1	val_f1	0.9473684210526315	
anchor_lda4	60	8	1	cal_intercept	14.872924905254258	
anchor_lda4	60	8	1	cal_slope	15.7969869028898	
anchor_lda4	60	8	2	val_logloss	0.21227465673020718	
anchor_lda4	60	8	2	val_auc	0.9797979797979798	
anchor_lda4	60	8	2	val_pr_auc	0.9765432098765434	
anchor_lda4	60	8	2	val_accuracy	0.95	
anchor_lda4	60	8	2	val_f1	0.9473684210526315	
anchor_lda4	60	8	2	cal_intercept	-0.7990304772339293	
anchor_lda4	60	8	2	cal_slope	0.6319666299649904	
anchor_lda4	60	8	3	val_logloss	0.08463853884935632	
anchor_lda4	60	8	3	val_auc	1.0	
anchor_lda4	60	8	3	val_pr_auc	0.9999999999999999	
anchor_lda4	60	8	3	val_accuracy	0.95	
anchor_lda4	60	8	3	val_f1	0.9523809523809523	
anchor_lda4	60	8	3	cal_intercept	-6.990748188732768	
anchor_lda4	60	8	3	cal_slope	15.778765506233952	
anchor_lda4	60	9	0	val_logloss	0.032255653271132126	
anchor_lda4	60	9	0	val_auc	1.0	
anchor_lda4	60	9	0	val_pr_auc	0.9999999999999999	
anchor_lda4	60	9	0	val_accuracy	1.0	
anchor_lda4	60	9	0	val_f1	1.0	
anchor_lda4	60	9	0	cal_intercept	-0.7451909309922474	
anchor_lda4	60	9	0	cal_slope	6.618425427375158	
anchor_lda4	60	9	1	val_logloss	0.385386046805691	
anchor_lda4	60	9	1	val_auc	0.9400000000000001	
anchor_lda4	60	9	1	val_pr_auc	0.941540404040404	
anchor_lda4	60	9	1	val_accuracy	0.8	
anchor_lda4	60	9	1	val_f1	0.8	
anchor_lda4	60	9	1	cal_intercept	0.4512034656220727	
anchor_lda4	60	9	1	cal_slope	0.4137561285494684	
anchor_lda4	60	9	2	val_logloss	0.10429334710468183	
anchor_lda4	60	9	2	val_auc	1.0	
anchor_lda4	60	9	2	val_pr_auc	0.9999999999999999	
anchor_lda4	60	9	2	val_accuracy	0.95	
anchor_lda4	60	9	2	val_f1	0.9523809523809523	
anchor_lda4	60	9	2	cal_intercept	-166.0904537237345	
anchor_lda4	60	9	2	cal_slope	111.37318077786425	
anchor_lda4	60	9	3	val_logloss	0.014299444798432015	
anchor_lda4	60	9	3	val_auc	1.0	
anchor_lda4	60	9	3	val_pr_auc	1.0000000000000002	
anchor_lda4	60	9	3	val_accuracy	1.0	
anchor_lda4	60	9	3	val_f1	1.0	
anchor_lda4	60	9	3	cal_intercept	0.40966259249774917	
anchor_lda4	60	9	3	cal_slope	3.4935384026455107	
anchor_lda4	60	10	0	val_logloss	0.03466290736019044	
anchor_lda4	60	10	0	val_auc	1.0	
anchor_lda4	60	10	0	val_pr_auc	0.9999999999999999	
anchor_lda4	60	10	0	val_accuracy	1.0	
anchor_lda4	60	10	0	val_f1	1.0	
anchor_lda4	60	10	0	cal_intercept	3.6659589819557548	
anchor_lda4	60	10	0	cal_slope	4.021627534202893	
anchor_lda4	60	10	1	val_logloss	0.010767693232133236	
anchor_lda4	60	10	1	val_auc	1.0	
anchor_lda4	60	10	1	val_pr_auc	0.9999999999999999	
anchor_lda4	60	10	1	val_accuracy	1.0	
anchor_lda4	60	10	1	val_f1	1.0	
anchor_lda4	60	10	1	cal_intercept	0.8899445018658205	
anchor_lda4	60	10	1	cal_slope	2.8291473078547793	
anchor_lda4	60	10	2	val_logloss	0.08575151607609399	
anchor_lda4	60	10	2	val_auc	1.0	
anchor_lda4	60	10	2	val_pr_auc	0.9999999999999999	
anchor_lda4	60	10	2	val_accuracy	1.0	
anchor_lda4	60	10	2	val_f1	1.0	
anchor_lda4	60	10	2	cal_intercept	1.908065823850781	
anchor_lda4	60	10	2	cal_slope	21.483525112225937	
anchor_lda4	60	10	3	val_logloss	0.2932199460262232	
anchor_lda4	60	10	3	val_auc	1.0	
anchor_lda4	60	10	3	val_pr_auc	1.0000000000000002	
anchor_lda4	60	10	3	val_accuracy	0.9	
anchor_lda4	60	10	3	val_f1	0.9	
anchor_lda4	60	10	3	cal_intercept	-198.14837590917884	
anchor_lda4	60	10	3	cal_slope	57.21710098318518	
anchor_lda4	45	1	0	val_logloss	0.15544894662014058	
anchor_lda4	45	1	0	val_auc	0.9797979797979798	
anchor_lda4	45	1	0	val_pr_auc	0.9765432098765432	
anchor_lda4	45	1	0	val_accuracy	0.95	
anchor_lda4	45	1	0	val_f1	0.9473684210526315	
anchor_lda4	45	1	0	cal_intercept	-1.5148489528556512	
anchor_lda4	45	1	0	cal_slope	1.0150114546784395	
anchor_lda4	45	1	1	val_logloss	0.08156238514437958	
anchor_lda4	45	1	1	val_auc	1.0	
anchor_lda4	45	1	1	val_pr_auc	0.9999999999999999	
anchor_lda4	45	1	1	val_accuracy	1.0	
anchor_lda4	45	1	1	val_f1	1.0	
anchor_lda4	45	1	1	cal_intercept	-5.8307354616697475	
anchor_lda4	45	1	1	cal_slope	21.34163163039497	
anchor_lda4	45	1	2	val_logloss	0.07835047722551003	
anchor_lda4	45	1	2	val_auc	1.0	
anchor_lda4	45	1	2	val_pr_auc	0.9999999999999999	
anchor_lda4	45	1	2	val_accuracy	0.95	
anchor_lda4	45	1	2	val_f1	0.9523809523809523	
anchor_lda4	45	1	2	cal_intercept	-9.774370721314794	
anchor_lda4	45	1	2	cal_slope	5.04114324304092	
anchor_lda4	45	1	3	val_logloss	0.04932167965933615	
anchor_lda4	45	1	3	val_auc	1.0	
anchor_lda4	45	1	3	val_pr_auc	0.9999999999999999	
anchor_lda4	45	1	3	val_accuracy	1.0	
anchor_lda4	45	1	3	val_f1	1.0	
anchor_lda4	45	1	3	cal_intercept	2.5220301982289888	
