trial	params_json	primary_metric	wall_seconds	status	error
68	{"family":"anchor_lda4","fold":3,"repeat":7,"rung":45}	0.019793	0.006	ok	
69	{"family":"anchor_lda4","fold":0,"repeat":8,"rung":45}	0.002989	0.006	ok	
70	{"family":"anchor_lda4","fold":1,"repeat":8,"rung":45}	0.015280	0.007	ok	
71	{"family":"anchor_lda4","fold":2,"repeat":8,"rung":45}	0.059258	0.007	ok	
72	{"family":"anchor_lda4","fold":3,"repeat":8,"rung":45}	0.017582	0.006	ok	
73	{"family":"anchor_lda4","fold":0,"repeat":9,"rung":45}	0.008802	0.006	ok	
74	{"family":"anchor_lda4","fold":1,"repeat":9,"rung":45}	0.151636	0.006	ok	
75	{"family":"anchor_lda4","fold":2,"repeat":9,"rung":45}	0.036904	0.006	ok	
76	{"family":"anchor_lda4","fold":3,"repeat":9,"rung":45}	0.001694	0.006	ok	
77	{"family":"anchor_lda4","fold":0,"repeat":10,"rung":45}	0.002862	0.006	ok	
78	{"family":"anchor_lda4","fold":1,"repeat":10,"rung":45}	0.000577	0.006	ok	
79	{"family":"anchor_lda4","fold":2,"repeat":10,"rung":45}	0.050767	0.006	ok	
80	{"family":"anchor_lda4","fold":3,"repeat":10,"rung":45}	0.090693	0.007	ok	
81	{"family":"anchor_lda4","fold":0,"repeat":1,"rung":30}	0.054647	0.006	ok	
82	{"family":"anchor_lda4","fold":1,"repeat":1,"rung":30}	0.019393	0.006	ok	
83	{"family":"anchor_lda4","fold":2,"repeat":1,"rung":30}	0.019745	0.007	ok	
84	{"family":"anchor_lda4","fold":3,"repeat":1,"rung":30}	0.003244	0.006	ok	
85	{"family":"anchor_lda4","fold":0,"repeat":2,"rung":30}	0.081369	0.007	ok	
86	{"family":"anchor_lda4","fold":1,"repeat":2,"rung":30}	0.003685	0.007	ok	
87	{"family":"anchor_lda4","fold":2,"repeat":2,"rung":30}	0.100686	0.006	ok	
88	{"family":"anchor_lda4","fold":3,"repeat":2,"rung":30}	0.000526	0.006	ok	
89	{"family":"anchor_lda4","fold":0,"repeat":3,"rung":30}	0.007738	0.007	ok	
90	{"family":"anchor_lda4","fold":1,"repeat":3,"rung":30}	0.003082	0.006	ok	
