rung	metric	scope	family	n_evals	n_na	n_ceiling	ceiling_share	mean_val_brier	mean_val_logloss
30	val_auc	family	tabpfn	40	0	22	0.55	0.043344	0.147924
30	val_auc	pooled	ALL	400	0	191	0.4775	0.068228	0.260354
30	val_pr_auc	family	anchor_lda4	40	0	25	0.625	0.037129	0.135012
30	val_pr_auc	family	hgbt	40	0	11	0.275	0.087766	0.562241
30	val_pr_auc	family	knn_tuned	40	0	18	0.45	0.056830	0.297003
30	val_pr_auc	family	lda_petal	40	0	25	0.625	0.047318	0.155724
30	val_pr_auc	family	lda_sepal	40	0	0	0.0	0.225356	0.643812
30	val_pr_auc	family	lda_shrinkage	40	0	27	0.675	0.033122	0.104468
30	val_pr_auc	family	logit_l2	40	0	21	0.525	0.051694	0.197764
30	val_pr_auc	family	qda	40	0	22	0.55	0.043555	0.156276
30	val_pr_auc	family	svm_rbf_platt	40	0	20	0.5	0.056162	0.203312
30	val_pr_auc	family	tabpfn	40	0	22	0.55	0.043344	0.147924
30	val_pr_auc	pooled	ALL	400	0	191	0.4775	0.068228	0.260354
30	val_f1	family	anchor_lda4	40	0	16	0.4	0.037129	0.135012
30	val_f1	family	hgbt	40	0	6	0.15	0.087766	0.562241
30	val_f1	family	knn_tuned	40	0	6	0.15	0.056830	0.297003
30	val_f1	family	lda_petal	40	0	11	0.275	0.047318	0.155724
30	val_f1	family	lda_sepal	40	0	0	0.0	0.225356	0.643812
30	val_f1	family	lda_shrinkage	40	0	13	0.325	0.033122	0.104468
30	val_f1	family	logit_l2	40	0	8	0.2	0.051694	0.197764
30	val_f1	family	qda	40	0	10	0.25	0.043555	0.156276
30	val_f1	family	svm_rbf_platt	40	0	12	0.3	0.056162	0.203312
30	val_f1	family	tabpfn	40	0	13	0.325	0.043344	0.147924
30	val_f1	pooled	ALL	400	0	95	0.2375	0.068228	0.260354
20	val_auc	family	anchor_lda4	40	0	24	0.6	0.046765	0.182256
20	val_auc	family	hgbt	40	0	9	0.225	0.089151	0.673480
20	val_auc	family	knn_tuned	40	0	14	0.35	0.066373	0.268422
20	val_auc	family	lda_petal	40	0	23	0.575	0.049847	0.174527
20	val_auc	family	lda_sepal	40	0	0	0.0	0.233090	0.666213
20	val_auc	family	lda_shrinkage	40	0	20	0.5	0.041368	0.128918
