family	rung	repeat	fold	metric	value	note
lda_shrinkage	60	4	1	val_accuracy	1.0	
lda_shrinkage	60	4	1	val_f1	1.0	
lda_shrinkage	60	4	1	cal_intercept	-3.8885029750076927	
lda_shrinkage	60	4	1	cal_slope	7.202943586506753	
lda_shrinkage	60	4	2	val_logloss	0.12033749806214455	
lda_shrinkage	60	4	2	val_auc	0.98	
lda_shrinkage	60	4	2	val_pr_auc	0.9809090909090908	
lda_shrinkage	60	4	2	val_accuracy	0.95	
lda_shrinkage	60	4	2	val_f1	0.9523809523809523	
lda_shrinkage	60	4	2	cal_intercept	-0.41769590016268165	
lda_shrinkage	60	4	2	cal_slope	0.9949062455899002	
lda_shrinkage	60	4	3	val_logloss	0.07735417197678249	
lda_shrinkage	60	4	3	val_auc	1.0	
lda_shrinkage	60	4	3	val_pr_auc	0.9999999999999999	
lda_shrinkage	60	4	3	val_accuracy	1.0	
lda_shrinkage	60	4	3	val_f1	1.0	
lda_shrinkage	60	4	3	cal_intercept	3.8973528760283975	
lda_shrinkage	60	4	3	cal_slope	13.573840621949058	
lda_shrinkage	60	5	0	val_logloss	0.01676448806130079	
lda_shrinkage	60	5	0	val_auc	1.0	
lda_shrinkage	60	5	0	val_pr_auc	0.9999999999999999	
lda_shrinkage	60	5	0	val_accuracy	1.0	
lda_shrinkage	60	5	0	val_f1	1.0	
lda_shrinkage	60	5	0	cal_intercept	1.197044413553102	
lda_shrinkage	60	5	0	cal_slope	3.285743007976223	
lda_shrinkage	60	5	1	val_logloss	0.11828786397498665	
lda_shrinkage	60	5	1	val_auc	1.0	
lda_shrinkage	60	5	1	val_pr_auc	0.9999999999999999	
lda_shrinkage	60	5	1	val_accuracy	0.95	
lda_shrinkage	60	5	1	val_f1	0.9523809523809523	
lda_shrinkage	60	5	1	cal_intercept	-9.223787491753148	
lda_shrinkage	60	5	1	cal_slope	9.19948771411147	
lda_shrinkage	60	5	2	val_logloss	0.14907061561084295	
lda_shrinkage	60	5	2	val_auc	0.99	
lda_shrinkage	60	5	2	val_pr_auc	0.9909090909090909	
lda_shrinkage	60	5	2	val_accuracy	0.9	
lda_shrinkage	60	5	2	val_f1	0.9090909090909091	
lda_shrinkage	60	5	2	cal_intercept	-7.7123780611453805	
lda_shrinkage	60	5	2	cal_slope	6.34115709785517	
lda_shrinkage	60	5	3	val_logloss	0.1100881258868538	
lda_shrinkage	60	5	3	val_auc	1.0	
lda_shrinkage	60	5	3	val_pr_auc	1.0000000000000002	
lda_shrinkage	60	5	3	val_accuracy	0.95	
lda_shrinkage	60	5	3	val_f1	0.9411764705882353	
lda_shrinkage	60	5	3	cal_intercept	10.884534117397559	
lda_shrinkage	60	5	3	cal_slope	4.620632640024047	
lda_shrinkage	60	6	0	val_logloss	0.03500195400083872	
