trial	params_json	primary_metric	wall_seconds	status	error
67	{"family":"lda_shrinkage","fold":2,"repeat":7,"rung":45}	0.022632	0.004	ok	
68	{"family":"lda_shrinkage","fold":3,"repeat":7,"rung":45}	0.015402	0.004	ok	
69	{"family":"lda_shrinkage","fold":0,"repeat":8,"rung":45}	0.003367	0.004	ok	
70	{"family":"lda_shrinkage","fold":1,"repeat":8,"rung":45}	0.017115	0.003	ok	
71	{"family":"lda_shrinkage","fold":2,"repeat":8,"rung":45}	0.039871	0.004	ok	
72	{"family":"lda_shrinkage","fold":3,"repeat":8,"rung":45}	0.028356	0.003	ok	
73	{"family":"lda_shrinkage","fold":0,"repeat":9,"rung":45}	0.015685	0.003	ok	
74	{"family":"lda_shrinkage","fold":1,"repeat":9,"rung":45}	0.037182	0.003	ok	
75	{"family":"lda_shrinkage","fold":2,"repeat":9,"rung":45}	0.042867	0.003	ok	
76	{"family":"lda_shrinkage","fold":3,"repeat":9,"rung":45}	0.008896	0.004	ok	
77	{"family":"lda_shrinkage","fold":0,"repeat":10,"rung":45}	0.003763	0.004	ok	
78	{"family":"lda_shrinkage","fold":1,"repeat":10,"rung":45}	0.010307	0.003	ok	
79	{"family":"lda_shrinkage","fold":2,"repeat":10,"rung":45}	0.034654	0.003	ok	
80	{"family":"lda_shrinkage","fold":3,"repeat":10,"rung":45}	0.093488	0.003	ok	
81	{"family":"lda_shrinkage","fold":0,"repeat":1,"rung":30}	0.053329	0.003	ok	
82	{"family":"lda_shrinkage","fold":1,"repeat":1,"rung":30}	0.031742	0.003	ok	
83	{"family":"lda_shrinkage","fold":2,"repeat":1,"rung":30}	0.018282	0.003	ok	
84	{"family":"lda_shrinkage","fold":3,"repeat":1,"rung":30}	0.017234	0.021	ok	
85	{"family":"lda_shrinkage","fold":0,"repeat":2,"rung":30}	0.063594	0.004	ok	
86	{"family":"lda_shrinkage","fold":1,"repeat":2,"rung":30}	0.006928	0.003	ok	
87	{"family":"lda_shrinkage","fold":2,"repeat":2,"rung":30}	0.009172	0.003	ok	
88	{"family":"lda_shrinkage","fold":3,"repeat":2,"rung":30}	0.000898	0.003	ok	
89	{"family":"lda_shrinkage","fold":0,"repeat":3,"rung":30}	0.005810	0.004	ok	
90	{"family":"lda_shrinkage","fold":1,"repeat":3,"rung":30}	0.026919	0.004	ok	
91	{"family":"lda_shrinkage","fold":2,"repeat":3,"rung":30}	0.038556	0.003	ok	
92	{"family":"lda_shrinkage","fold":3,"repeat":3,"rung":30}	0.069109	0.004	ok	
93	{"family":"lda_shrinkage","fold":0,"repeat":4,"rung":30}	0.038121	0.003	ok	
94	{"family":"lda_shrinkage","fold":1,"repeat":4,"rung":30}	0.014402	0.003	ok	
95	{"family":"lda_shrinkage","fold":2,"repeat":4,"rung":30}	0.033922	0.003	ok	
96	{"family":"lda_shrinkage","fold":3,"repeat":4,"rung":30}	0.028581	0.004	ok	
97	{"family":"lda_shrinkage","fold":0,"repeat":5,"rung":30}	0.002415	0.003	ok	
98	{"family":"lda_shrinkage","fold":1,"repeat":5,"rung":30}	0.028175	0.003	ok	
99	{"family":"lda_shrinkage","fold":2,"repeat":5,"rung":30}	0.048154	0.003	ok	
100	{"family":"lda_shrinkage","fold":3,"repeat":5,"rung":30}	0.045734	0.003	ok	
101	{"family":"lda_shrinkage","fold":0,"repeat":6,"rung":30}	0.007554	0.003	ok	
102	{"family":"lda_shrinkage","fold":1,"repeat":6,"rung":30}	0.058534	0.003	ok	
103	{"family":"lda_shrinkage","fold":2,"repeat":6,"rung":30}	0.004931	0.003	ok	
104	{"family":"lda_shrinkage","fold":3,"repeat":6,"rung":30}	0.071950	0.003	ok	
105	{"family":"lda_shrinkage","fold":0,"repeat":7,"rung":30}	0.044776	0.003	ok	
106	{"family":"lda_shrinkage","fold":1,"repeat":7,"rung":30}	0.081644	0.003	ok	
107	{"family":"lda_shrinkage","fold":2,"repeat":7,"rung":30}	0.027390	0.003	ok	
108	{"family":"lda_shrinkage","fold":3,"repeat":7,"rung":30}	0.024943	0.003	ok	
109	{"family":"lda_shrinkage","fold":0,"repeat":8,"rung":30}	0.004866	0.003	ok	
110	{"family":"lda_shrinkage","fold":1,"repeat":8,"rung":30}	0.014246	0.003	ok	
111	{"family":"lda_shrinkage","fold":2,"repeat":8,"rung":30}	0.052760	0.004	ok	
112	{"family":"lda_shrinkage","fold":3,"repeat":8,"rung":30}	0.033994	0.003	ok	
113	{"family":"lda_shrinkage","fold":0,"repeat":9,"rung":30}	0.011645	0.003	ok	
114	{"family":"lda_shrinkage","fold":1,"repeat":9,"rung":30}	0.062012	0.003	ok	
115	{"family":"lda_shrinkage","fold":2,"repeat":9,"rung":30}	0.042002	0.003	ok	
116	{"family":"lda_shrinkage","fold":3,"repeat":9,"rung":30}	0.017366	0.003	ok	
117	{"family":"lda_shrinkage","fold":0,"repeat":10,"rung":30}	0.019869	0.003	ok	
118	{"family":"lda_shrinkage","fold":1,"repeat":10,"rung":30}	0.005923	0.003	ok	
119	{"family":"lda_shrinkage","fold":2,"repeat":10,"rung":30}	0.037682	0.004	ok	
120	{"family":"lda_shrinkage","fold":3,"repeat":10,"rung":30}	0.119712	0.004	ok	
121	{"family":"lda_shrinkage","fold":0,"repeat":1,"rung":20}	0.069423	0.003	ok	
122	{"family":"lda_shrinkage","fold":1,"repeat":1,"rung":20}	0.042005	0.003	ok	
123	{"family":"lda_shrinkage","fold":2,"repeat":1,"rung":20}	0.011082	0.004	ok	
124	{"family":"lda_shrinkage","fold":3,"repeat":1,"rung":20}	0.033911	0.003	ok	
125	{"family":"lda_shrinkage","fold":0,"repeat":2,"rung":20}	0.075832	0.003	ok	
126	{"family":"lda_shrinkage","fold":1,"repeat":2,"rung":20}	0.008576	0.003	ok	
127	{"family":"lda_shrinkage","fold":2,"repeat":2,"rung":20}	0.015049	0.003	ok	
128	{"family":"lda_shrinkage","fold":3,"repeat":2,"rung":20}	0.000805	0.003	ok	
129	{"family":"lda_shrinkage","fold":0,"repeat":3,"rung":20}	0.000361	0.003	ok	
130	{"family":"lda_shrinkage","fold":1,"repeat":3,"rung":20}	0.042951	0.004	ok	
131	{"family":"lda_shrinkage","fold":2,"repeat":3,"rung":20}	0.057797	0.004	ok	
132	{"family":"lda_shrinkage","fold":3,"repeat":3,"rung":20}	0.039945	0.003	ok	
133	{"family":"lda_shrinkage","fold":0,"repeat":4,"rung":20}	0.046758	0.003	ok	
134	{"family":"lda_shrinkage","fold":1,"repeat":4,"rung":20}	0.028138	0.004	ok	
135	{"family":"lda_shrinkage","fold":2,"repeat":4,"rung":20}	0.033567	0.003	ok	
136	{"family":"lda_shrinkage","fold":3,"repeat":4,"rung":20}	0.066718	0.003	ok	
137	{"family":"lda_shrinkage","fold":0,"repeat":5,"rung":20}	0.004033	0.003	ok	
138	{"family":"lda_shrinkage","fold":1,"repeat":5,"rung":20}	0.038242	0.003	ok	
139	{"family":"lda_shrinkage","fold":2,"repeat":5,"rung":20}	0.067675	0.003	ok	
140	{"family":"lda_shrinkage","fold":3,"repeat":5,"rung":20}	0.092139	0.003	ok	
141	{"family":"lda_shrinkage","fold":0,"repeat":6,"rung":20}	0.017038	0.003	ok	
142	{"family":"lda_shrinkage","fold":1,"repeat":6,"rung":20}	0.074009	0.003	ok	
143	{"family":"lda_shrinkage","fold":2,"repeat":6,"rung":20}	0.011124	0.003	ok	
144	{"family":"lda_shrinkage","fold":3,"repeat":6,"rung":20}	0.120757	0.003	ok	
145	{"family":"lda_shrinkage","fold":0,"repeat":7,"rung":20}	0.045438	0.004	ok	
146	{"family":"lda_shrinkage","fold":1,"repeat":7,"rung":20}	0.066709	0.004	ok	
