dgp	n	model	k_effective	irr	bias2	var	total	check_abs_err	mc_se
G1-linear-match	8	lda	100	0.11128534337646016	0.0015624947285278962	0.04003023838899379	0.15287807649398186	0.0	0.004049671997323616
G1-linear-match	8	slda	100	0.11128534337646016	0.0010557683922429242	0.0355802217236283	0.14792133349233139	0.0	0.0034812059379981664
G1-linear-match	8	qda	100	0.11128534337646016	0.005621393003951744	0.06801410622891102	0.1849208426093229	2.7755575615628914e-17	0.005059707441555718
G1-linear-match	8	logit_l2	100	0.11128534337646016	0.023720097304271555	0.014332811898352275	0.14933825257908398	2.7755575615628914e-17	0.0024726473790463712
G1-linear-match	8	svm_rbf_platt	100	0.11128534337646016	0.07016444117882728	0.033140779082844615	0.21459056363813203	2.7755575615628914e-17	0.006493458283139604
G1-linear-match	8	hgbt	100	0.11128534337646016	0.13871465662353982	0.0	0.25	0.0	0.0
G1-linear-match	12	lda	100	0.11128534337646016	0.0008440343699243477	0.028780935269502386	0.14091031301588694	2.7755575615628914e-17	0.003516580752490151
G1-linear-match	12	slda	100	0.11128534337646016	0.0005044760134075913	0.025230106606059483	0.13701992599592724	0.0	0.002991390858151926
G1-linear-match	12	qda	100	0.11128534337646016	0.0032748266209577472	0.04259625477885218	0.1571564247762701	0.0	0.0034864623298659116
G1-linear-match	12	logit_l2	100	0.11128534337646016	0.015961564737632307	0.01194308826548044	0.13918999637957288	2.7755575615628914e-17	0.002225888059832502
G1-linear-match	12	svm_rbf_platt	100	0.11128534337646016	0.037830262581742116	0.026404826140833525	0.1755204320990358	0.0	0.0031910614214862797
G1-linear-match	12	hgbt	100	0.11128534337646016	0.0051168429932238225	0.06410523110405923	0.1805074174737432	2.7755575615628914e-17	0.005075605092595022
G1-linear-match	20	lda	100	0.11128534337646016	0.00043257003032852286	0.016861005382810657	0.12857891878959934	0.0	0.0015894177804806025
G1-linear-match	20	slda	100	0.11128534337646016	0.0003050549387198911	0.013581706446272587	0.12517210476145266	2.7755575615628914e-17	0.001500428249956404
G1-linear-match	20	qda	100	0.11128534337646016	0.0012613790086437979	0.023840652017510185	0.13638737440261417	2.7755575615628914e-17	0.002200549454675383
G1-linear-match	20	logit_l2	100	0.11128534337646016	0.009739641723940734	0.008037230770727193	0.1290622158711281	0.0	0.001330896041371089
G1-linear-match	20	svm_rbf_platt	100	0.11128534337646016	0.01972776479053071	0.020187763653332226	0.1512008718203231	0.0	0.0025698030689500044
G1-linear-match	20	hgbt	100	0.11128534337646016	0.0019289295565504555	0.07094084450241359	0.18415511743542423	2.7755575615628914e-17	0.003711343679247154
G1-linear-match	30	lda	100	0.11128534337646016	0.0003338469378738114	0.011703059650170232	0.12332224996450422	2.7755575615628914e-17	0.0012549817910183874
G1-linear-match	30	slda	100	0.11128534337646016	0.0001025610231887838	0.009473778341199793	0.12086168274084873	1.3877787807814457e-17	0.0008370500436600424
G1-linear-match	30	qda	100	0.11128534337646016	0.0006523842997284143	0.015519676510750745	0.1274574041869393	2.7755575615628914e-17	0.0013310772692183043
G1-linear-match	30	logit_l2	100	0.11128534337646016	0.006749192787510487	0.0065855755655515385	0.12462011172952218	0.0	0.0009728152875518344
G1-linear-match	30	svm_rbf_platt	100	0.11128534337646016	0.014934563883782013	0.01850118826594373	0.1447210955261859	2.7755575615628914e-17	0.0023507828644813676
G1-linear-match	30	hgbt	100	0.11128534337646016	0.0008966299220518937	0.07008994341889013	0.18227191671740217	0.0	0.002411899153875647
G1-linear-match	60	lda	100	0.11128534337646016	0.00011712452675577334	0.003962506910707804	0.11536497481392376	1.3877787807814457e-17	0.00029282467662169765
