trial	params_json	primary_metric	wall_seconds	status	error
1	{"fraction":0.05}	-0.001931	1.061	ok	
2	{"fraction":0.1}	0.003446	1.267	ok	
3	{"fraction":0.15}	0.003195	1.545	ok	
4	{"fraction":0.25}	0.006370	1.895	ok	
5	{"fraction":0.5}	0.008471	2.952	ok	
6	{"fraction":0.75}	0.009240	3.203	ok	
7	{"fraction":1.0}	0.010172	4.180	ok	
