family	rung	era	n_repeats	mean_gain	t	p_guard	bar1_guard_cleared	delta_n	rung_open	bar2_actionable
svm_linear_platt	30	modern-ml	10	-0.017887	-5.3231	1.0	False	0.046	False	False
svm_rbf_platt	30	modern-ml	10	-0.024923	-7.3262	1.0	False	0.046	False	False
tabpfn	30	foundation	10	-0.010095	-4.077	1.0	False	0.046	False	False
tabpfn_e16	30	foundation	10	-0.010621	-4.2711	1.0	False	0.046	False	False
vote_soft	30	modern-ml	10	-0.014439	-8.2755	1.0	False	0.046	False	False
extratrees	45	modern-ml	10	-0.03714	-23.3662	1.0	False	0.034	False	False
gnb	45	20c-stats	10	-0.044417	-15.8243	1.0	False	0.034	False	False
gpc_rbf	45	modern-ml	0		-inf	1.0	False	0.034	False	False
hgbt	45	modern-ml	10	-0.051788	-13.948	1.0	False	0.034	False	False
hgbt_isotonic	45	modern-ml	10	-0.050456	-14.7282	1.0	False	0.034	False	False
knn_tuned	45	20c-stats	10	-0.02473	-11.6901	1.0	False	0.034	False	False
lda_isotonic	45	20c-stats	10	-0.013575	-4.2322	1.0	False	0.034	False	False
lda_platt	45	20c-stats	10	-0.012986	-10.6519	1.0	False	0.034	False	False
lda_shrinkage	45	20c-stats	10	-0.003135	-1.9248	1.0	False	0.034	False	False
logit_area	45	20c-stats	10	-0.01597	-9.117	1.0	False	0.034	False	False
logit_l2	45	20c-stats	10	-0.02012	-11.6367	1.0	False	0.034	False	False
mlp_small	45	modern-ml	10	-0.028716	-6.3034	1.0	False	0.034	False	False
qda	45	20c-stats	10	-0.015413	-9.2735	1.0	False	0.034	False	False
rf	45	modern-ml	10	-0.032931	-18.3788	1.0	False	0.034	False	False
rf_isotonic	45	modern-ml	10	-0.041574	-13.9103	1.0	False	0.034	False	False
stack_logit	45	modern-ml	10	-0.02063	-12.904	1.0	False	0.034	False	False
svm_linear_platt	45	modern-ml	10	-0.010027	-6.3724	1.0	False	0.034	False	False
svm_rbf_platt	45	modern-ml	10	-0.019989	-10.0612	1.0	False	0.034	False	False
tabpfn	45	foundation	10	-0.007927	-4.917	1.0	False	0.034	False	False
tabpfn_e16	45	foundation	10	-0.008231	-4.8056	1.0	False	0.034	False	False
vote_soft	45	modern-ml	0		-inf	1.0	False	0.034	False	False
extratrees	60	modern-ml	10	-0.037144	-22.9773	1.0	False	0.032	False	False
gnb	60	20c-stats	10	-0.043065	-18.5603	1.0	False	0.032	False	False
gpc_rbf	60	modern-ml	0		-inf	1.0	False	0.032	False	False
hgbt	60	modern-ml	10	-0.057555	-12.3269	1.0	False	0.032	False	False
hgbt_isotonic	60	modern-ml	10	-0.049657	-11.8772	1.0	False	0.032	False	False
knn_tuned	60	20c-stats	10	-0.026925	-26.3983	1.0	False	0.032	False	False
lda_isotonic	60	20c-stats	10	-0.008993	-2.921	1.0	False	0.032	False	False
lda_platt	60	20c-stats	10	-0.008518	-6.6368	1.0	False	0.032	False	False
lda_shrinkage	60	20c-stats	10	-0.001411	-2.0332	1.0	False	0.032	False	False
logit_area	60	20c-stats	10	-0.013988	-10.6246	1.0	False	0.032	False	False
logit_l2	60	20c-stats	10	-0.01741	-13.3594	1.0	False	0.032	False	False
mlp_small	60	modern-ml	10	-0.028206	-7.2001	1.0	False	0.032	False	False
qda	60	20c-stats	10	-0.016743	-11.3442	1.0	False	0.032	False	False
rf	60	modern-ml	10	-0.034283	-19.5678	1.0	False	0.032	False	False
rf_isotonic	60	modern-ml	10	-0.043671	-10.741	1.0	False	0.032	False	False
stack_logit	60	modern-ml	10	-0.016992	-10.2946	1.0	False	0.032	False	False
svm_linear_platt	60	modern-ml	10	-0.006552	-4.396	1.0	False	0.032	False	False
svm_rbf_platt	60	modern-ml	10	-0.01644	-10.9224	1.0	False	0.032	False	False
tabpfn	60	foundation	10	-0.007199	-7.3396	1.0	False	0.032	False	False
tabpfn_e16	60	foundation	10	-0.007478	-8.2032	1.0	False	0.032	False	False
vote_soft	60	modern-ml	0		-inf	1.0	False	0.032	False	False
