trial	params_json	primary_metric	wall_seconds	status	error
81	{"draw":12,"family":"svm_rbf","seed":20260840}	0.003325	0.002	ok	
82	{"draw":12,"family":"hgbt","seed":20260840}	0.000128	0.105	ok	
83	{"draw":12,"family":"lda_petal","seed":20260840}	0.007853	0.001	ok	
84	{"draw":12,"family":"lda_sepal","seed":20260840}	0.254982	0.001	ok	
85	{"draw":13,"family":"anchor_lda4","seed":20260841}	0.001076	0.001	ok	
86	{"draw":13,"family":"logit","seed":20260841}	0.018564	0.002	ok	
87	{"draw":13,"family":"knn7","seed":20260841}	0.042846	0.002	ok	
88	{"draw":13,"family":"svm_rbf","seed":20260841}	0.029197	0.002	ok	
89	{"draw":13,"family":"hgbt","seed":20260841}	0.000243	0.103	ok	
90	{"draw":13,"family":"lda_petal","seed":20260841}	0.029437	0.001	ok	
91	{"draw":13,"family":"lda_sepal","seed":20260841}	0.269917	0.001	ok	
92	{"draw":14,"family":"anchor_lda4","seed":20260842}	0.001069	0.001	ok	
93	{"draw":14,"family":"logit","seed":20260842}	0.000000	0.002	ok	
94	{"draw":14,"family":"knn7","seed":20260842}	0.039015	0.002	ok	
95	{"draw":14,"family":"svm_rbf","seed":20260842}	0.018489	0.002	ok	
96	{"draw":14,"family":"hgbt","seed":20260842}	0.092432	0.110	ok	
97	{"draw":14,"family":"lda_petal","seed":20260842}	0.034205	0.001	ok	
98	{"draw":14,"family":"lda_sepal","seed":20260842}	0.214097	0.001	ok	
99	{"draw":15,"family":"anchor_lda4","seed":20260843}	0.043057	0.001	ok	
100	{"draw":15,"family":"logit","seed":20260843}	0.096246	0.002	ok	
101	{"draw":15,"family":"knn7","seed":20260843}	0.030061	0.002	ok	
102	{"draw":15,"family":"svm_rbf","seed":20260843}	0.047343	0.002	ok	
103	{"draw":15,"family":"hgbt","seed":20260843}	0.002812	0.114	ok	
104	{"draw":15,"family":"lda_petal","seed":20260843}	0.005895	0.001	ok	
105	{"draw":15,"family":"lda_sepal","seed":20260843}	0.278124	0.001	ok	
106	{"draw":16,"family":"anchor_lda4","seed":20260844}	0.032339	0.001	ok	
107	{"draw":16,"family":"logit","seed":20260844}	0.050000	0.002	ok	
108	{"draw":16,"family":"knn7","seed":20260844}	0.019881	0.002	ok	
109	{"draw":16,"family":"svm_rbf","seed":20260844}	0.050520	0.002	ok	
110	{"draw":16,"family":"hgbt","seed":20260844}	0.099978	0.107	ok	
111	{"draw":16,"family":"lda_petal","seed":20260844}	0.045218	0.001	ok	
112	{"draw":16,"family":"lda_sepal","seed":20260844}	0.177164	0.001	ok	
113	{"draw":17,"family":"anchor_lda4","seed":20260845}	0.050078	0.002	ok	
114	{"draw":17,"family":"logit","seed":20260845}	0.081280	0.002	ok	
115	{"draw":17,"family":"knn7","seed":20260845}	0.027131	0.002	ok	
116	{"draw":17,"family":"svm_rbf","seed":20260845}	0.062079	0.002	ok	
117	{"draw":17,"family":"hgbt","seed":20260845}	0.049989	0.100	ok	
118	{"draw":17,"family":"lda_petal","seed":20260845}	0.037469	0.001	ok	
119	{"draw":17,"family":"lda_sepal","seed":20260845}	0.232555	0.001	ok	
120	{"draw":18,"family":"anchor_lda4","seed":20260846}	0.003859	0.001	ok	
121	{"draw":18,"family":"logit","seed":20260846}	0.000001	0.002	ok	
122	{"draw":18,"family":"knn7","seed":20260846}	0.005516	0.002	ok	
123	{"draw":18,"family":"svm_rbf","seed":20260846}	0.009937	0.002	ok	
124	{"draw":18,"family":"hgbt","seed":20260846}	0.000036	0.104	ok	
125	{"draw":18,"family":"lda_petal","seed":20260846}	0.009984	0.001	ok	
126	{"draw":18,"family":"lda_sepal","seed":20260846}	0.203259	0.001	ok	
127	{"draw":19,"family":"anchor_lda4","seed":20260847}	0.000115	0.001	ok	
128	{"draw":19,"family":"logit","seed":20260847}	0.047619	0.002	ok	
129	{"draw":19,"family":"knn7","seed":20260847}	0.048221	0.002	ok	
130	{"draw":19,"family":"svm_rbf","seed":20260847}	0.024235	0.002	ok	
131	{"draw":19,"family":"hgbt","seed":20260847}	0.000450	0.106	ok	
132	{"draw":19,"family":"lda_petal","seed":20260847}	0.030331	0.001	ok	
133	{"draw":19,"family":"lda_sepal","seed":20260847}	0.305306	0.001	ok	
134	{"draw":20,"family":"anchor_lda4","seed":20260848}	0.015544	0.001	ok	
135	{"draw":20,"family":"logit","seed":20260848}	0.050000	0.002	ok	
136	{"draw":20,"family":"knn7","seed":20260848}	0.024318	0.002	ok	
137	{"draw":20,"family":"svm_rbf","seed":20260848}	0.027898	0.002	ok	
138	{"draw":20,"family":"hgbt","seed":20260848}	0.049994	0.112	ok	
139	{"draw":20,"family":"lda_petal","seed":20260848}	0.036829	0.001	ok	
140	{"draw":20,"family":"lda_sepal","seed":20260848}	0.229031	0.001	ok	
