trial	params_json	primary_metric	wall_seconds	status	error
50	{"draw":8,"family":"anchor_lda4","seed":20260828008}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
51	{"draw":8,"family":"logit","seed":20260828008}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
52	{"draw":8,"family":"knn7","seed":20260828008}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
53	{"draw":8,"family":"svm_rbf","seed":20260828008}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
54	{"draw":8,"family":"hgbt","seed":20260828008}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
55	{"draw":8,"family":"lda_petal","seed":20260828008}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
56	{"draw":8,"family":"lda_sepal","seed":20260828008}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
57	{"draw":9,"family":"anchor_lda4","seed":20260828009}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
58	{"draw":9,"family":"logit","seed":20260828009}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
59	{"draw":9,"family":"knn7","seed":20260828009}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
60	{"draw":9,"family":"svm_rbf","seed":20260828009}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
61	{"draw":9,"family":"hgbt","seed":20260828009}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
62	{"draw":9,"family":"lda_petal","seed":20260828009}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
63	{"draw":9,"family":"lda_sepal","seed":20260828009}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
64	{"draw":10,"family":"anchor_lda4","seed":20260828010}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
65	{"draw":10,"family":"logit","seed":20260828010}	NA	0.000	crash	"ValueError: Seed must be between 0 and 2**32 - 1"
